# E (eV)  dos(E)    pdos(E)
  -3.404  0.440E-04  0.438E-04
  -3.304  0.443E-01  0.441E-01
  -3.204  0.792E+00  0.789E+00
  -3.104  0.722E+00  0.719E+00
  -3.004  0.459E+00  0.457E+00
  -2.904  0.364E+00  0.362E+00
  -2.804  0.307E+00  0.305E+00
  -2.704  0.324E+00  0.323E+00
  -2.604  0.219E+00  0.218E+00
  -2.504  0.236E+00  0.235E+00
  -2.404  0.240E+00  0.239E+00
  -2.304  0.194E+00  0.193E+00
  -2.204  0.176E+00  0.175E+00
  -2.104  0.241E+00  0.239E+00
  -2.004  0.937E-01  0.932E-01
  -1.904  0.285E+00  0.284E+00
  -1.804  0.785E-01  0.781E-01
  -1.704  0.196E+00  0.195E+00
  -1.604  0.187E+00  0.186E+00
  -1.504  0.793E-01  0.788E-01
  -1.404  0.207E+00  0.206E+00
  -1.304  0.121E+00  0.120E+00
  -1.204  0.173E+00  0.172E+00
  -1.104  0.976E-01  0.970E-01
  -1.004  0.149E+00  0.149E+00
  -0.904  0.167E+00  0.166E+00
  -0.804  0.735E-01  0.731E-01
  -0.704  0.133E+00  0.132E+00
  -0.604  0.160E+00  0.159E+00
  -0.504  0.994E-01  0.989E-01
  -0.404  0.103E+00  0.103E+00
  -0.304  0.127E+00  0.126E+00
  -0.204  0.151E+00  0.150E+00
  -0.104  0.118E+00  0.117E+00
  -0.004  0.344E-01  0.342E-01
   0.096  0.133E+00  0.133E+00
   0.196  0.206E+00  0.205E+00
   0.296  0.504E-01  0.501E-01
   0.396  0.269E-02  0.267E-02
   0.496  0.178E+00  0.177E+00
   0.596  0.206E+00  0.205E+00
   0.696  0.373E-02  0.371E-02
   0.796  0.997E-02  0.991E-02
   0.896  0.201E+00  0.200E+00
   0.996  0.179E+00  0.178E+00
   1.096  0.974E-02  0.969E-02
   1.196  0.440E-01  0.437E-01
   1.296  0.143E+00  0.142E+00
   1.396  0.125E+00  0.124E+00
   1.496  0.795E-01  0.791E-01
   1.596  0.846E-01  0.840E-01
   1.696  0.673E-01  0.668E-01
   1.796  0.107E+00  0.106E+00
   1.896  0.781E-01  0.777E-01
   1.996  0.162E+00  0.161E+00
   2.096  0.304E-01  0.302E-01
   2.196  0.847E-01  0.840E-01
   2.296  0.499E-01  0.495E-01
   2.396  0.155E+00  0.153E+00
   2.496  0.102E+00  0.101E+00
   2.596  0.145E-01  0.144E-01
   2.696  0.113E+00  0.112E+00
   2.796  0.107E+00  0.106E+00
   2.896  0.520E-01  0.516E-01
   2.996  0.109E+00  0.108E+00
   3.096  0.382E-01  0.378E-01
   3.196  0.171E+00  0.169E+00
   3.296  0.619E-01  0.614E-01
   3.396  0.192E-02  0.191E-02
   3.496  0.128E+00  0.127E+00
   3.596  0.571E+00  0.569E+00
   3.696  0.426E+00  0.424E+00
   3.796  0.590E+00  0.580E+00
   3.896  0.532E+00  0.523E+00
   3.996  0.375E+00  0.369E+00
   4.096  0.494E+00  0.487E+00
   4.196  0.467E+00  0.460E+00
   4.296  0.250E+00  0.247E+00
   4.396  0.235E+00  0.232E+00
   4.496  0.229E+00  0.226E+00
   4.596  0.343E+00  0.338E+00
   4.696  0.394E+00  0.388E+00
   4.796  0.239E+00  0.236E+00
   4.896  0.165E+00  0.163E+00
   4.996  0.162E+00  0.160E+00
   5.096  0.440E+00  0.433E+00
   5.196  0.156E+00  0.154E+00
   5.296  0.773E+00  0.768E+00
   5.396  0.721E+00  0.717E+00
   5.496  0.483E+00  0.479E+00
   5.596  0.541E+00  0.534E+00
   5.696  0.332E+00  0.329E+00
