# E (eV)  dos(E)    pdos(E)
 -17.667  0.122E-01  0.120E-01
 -17.657  0.292E-01  0.288E-01
 -17.647  0.671E-01  0.662E-01
 -17.637  0.147E+00  0.146E+00
 -17.627  0.311E+00  0.306E+00
 -17.617  0.626E+00  0.618E+00
 -17.607  0.121E+01  0.119E+01
 -17.597  0.224E+01  0.221E+01
 -17.587  0.397E+01  0.391E+01
 -17.577  0.673E+01  0.664E+01
 -17.567  0.109E+02  0.108E+02
 -17.557  0.170E+02  0.168E+02
 -17.547  0.254E+02  0.251E+02
 -17.537  0.363E+02  0.358E+02
 -17.527  0.496E+02  0.489E+02
 -17.517  0.650E+02  0.641E+02
 -17.507  0.815E+02  0.804E+02
 -17.497  0.979E+02  0.966E+02
 -17.487  0.113E+03  0.111E+03
 -17.477  0.124E+03  0.123E+03
 -17.467  0.131E+03  0.129E+03
 -17.457  0.132E+03  0.131E+03
 -17.447  0.128E+03  0.127E+03
 -17.437  0.119E+03  0.117E+03
 -17.427  0.106E+03  0.104E+03
 -17.417  0.898E+02  0.886E+02
 -17.407  0.732E+02  0.722E+02
 -17.397  0.571E+02  0.563E+02
 -17.387  0.427E+02  0.421E+02
 -17.377  0.305E+02  0.301E+02
 -17.367  0.209E+02  0.206E+02
 -17.357  0.137E+02  0.136E+02
 -17.347  0.864E+01  0.852E+01
 -17.337  0.520E+01  0.513E+01
 -17.327  0.300E+01  0.296E+01
 -17.317  0.166E+01  0.163E+01
 -17.307  0.876E+00  0.865E+00
 -17.297  0.444E+00  0.438E+00
 -17.287  0.215E+00  0.213E+00
 -17.277  0.100E+00  0.988E-01
 -17.267  0.446E-01  0.440E-01
 -17.257  0.190E-01  0.187E-01
 -17.247  0.776E-02  0.765E-02
 -17.237  0.303E-02  0.299E-02
 -17.227  0.114E-02  0.112E-02
 -17.217  0.407E-03  0.402E-03
 -17.207  0.140E-03  0.138E-03
 -17.197  0.460E-04  0.454E-04
 -17.187  0.145E-04  0.143E-04
 -17.177  0.438E-05  0.432E-05
 -17.167  0.127E-05  0.125E-05
 -17.157  0.350E-06  0.346E-06
 -17.147  0.929E-07  0.916E-07
 -17.137  0.236E-07  0.233E-07
 -17.127  0.573E-08  0.566E-08
 -17.117  0.134E-08  0.132E-08
 -17.107  0.285E-09  0.282E-09
 -17.097  0.000E+00  0.000E+00
 -17.087  0.000E+00  0.000E+00
 -17.077  0.000E+00  0.000E+00
 -17.067  0.000E+00  0.000E+00
 -17.057  0.000E+00  0.000E+00
 -17.047  0.000E+00  0.000E+00
 -17.037  0.000E+00  0.000E+00
 -17.027  0.000E+00  0.000E+00
 -17.017  0.000E+00  0.000E+00
 -17.007  0.000E+00  0.000E+00
 -16.997  0.000E+00  0.000E+00
 -16.987  0.000E+00  0.000E+00
 -16.977  0.000E+00  0.000E+00
 -16.967  0.000E+00  0.000E+00
 -16.957  0.000E+00  0.000E+00
 -16.947  0.000E+00  0.000E+00
 -16.937  0.000E+00  0.000E+00
 -16.927  0.000E+00  0.000E+00
 -16.917  0.000E+00  0.000E+00
 -16.907  0.000E+00  0.000E+00
 -16.897  0.000E+00  0.000E+00
 -16.887  0.000E+00  0.000E+00
 -16.877  0.000E+00  0.000E+00
 -16.867  0.000E+00  0.000E+00
 -16.857  0.000E+00  0.000E+00
 -16.847  0.000E+00  0.000E+00
 -16.837  0.000E+00  0.000E+00
 -16.827  0.000E+00  0.000E+00
 -16.817  0.000E+00  0.000E+00
 -16.807  0.000E+00  0.000E+00
 -16.797  0.000E+00  0.000E+00
 -16.787  0.000E+00  0.000E+00
 -16.777  0.000E+00  0.000E+00
 -16.767  0.000E+00  0.000E+00
 -16.757  0.000E+00  0.000E+00
 -16.747  0.000E+00  0.000E+00
 -16.737  0.000E+00  0.000E+00
 -16.727  0.000E+00  0.000E+00
 -16.717  0.000E+00  0.000E+00
 -16.707  0.000E+00  0.000E+00
